State Name,State Abbr,County Name,Has Airport,Has Ferry Terminal,Has Train Station
Alabama,AL,Dale County,1,0,0
Kansas,KS,Logan County,0,0,0
California,CA,Madera County,0,0,1
Missouri,MO,Gentry County,0,0,0
Nebraska,NE,Blaine County,0,0,0
Utah,UT,Daggett County,0,0,0
Wyoming,WY,Platte County,0,0,0
North Carolina,NC,Gaston County,0,0,0
New Mexico,NM,Guadalupe County,0,0,0
Montana,MT,Golden Valley County,0,0,0
North Carolina,NC,Johnston County,1,0,1
California,CA,Santa Clara County,1,0,1
South Carolina,SC,Charleston County,1,1,1
Washington,WA,Benton County,0,0,0
Missouri,MO,Adair County,1,0,0
Ohio,OH,Erie County,0,1,1
Illinois,IL,Vermilion County,0,0,0
Missouri,MO,St. Louis County,1,0,1
Illinois,IL,Boone County,0,0,0
California,CA,Tehama County,1,0,0
Wisconsin,WI,Dane County,1,0,0
Texas,TX,Fisher County,0,0,0
Louisiana,LA,Sabine Parish,0,0,0
Illinois,IL,Morgan County,0,0,0
Georgia,GA,Pulaski County,0,0,0
North Carolina,NC,Bertie County,0,1,0
North Carolina,NC,Stanly County,0,0,0
Tennessee,TN,Rhea County,0,0,0
North Carolina,NC,Greene County,0,0,0
Kentucky,KY,Leslie County,0,0,0
Maryland,MD,Somerset County,0,1,0
Illinois,IL,Marshall County,0,0,0
Kentucky,KY,Lyon County,0,0,0
Texas,TX,Concho County,0,0,0
Texas,TX,Coke County,0,0,0
Tennessee,TN,Overton County,0,0,0
Michigan,MI,Huron County,0,0,0
Michigan,MI,Iosco County,0,0,0
Georgia,GA,Coffee County,0,0,0
Georgia,GA,Ware County,0,0,0
North Dakota,ND,Grant County,0,0,0
Louisiana,LA,Jefferson Parish,1,0,0
Louisiana,LA,St. Tammany Parish,0,0,0
Iowa,IA,Hardin County,0,0,0
Louisiana,LA,Cameron Parish,0,1,0
Ohio,OH,Clinton County,1,0,0
Minnesota,MN,St. Louis County,1,0,1
Ohio,OH,Lorain County,0,0,1
Iowa,IA,Boone County,0,0,1
Texas,TX,Polk County,0,0,0
Nebraska,NE,Dixon County,0,0,0
Maryland,MD,Harford County,1,0,1
South Carolina,SC,Edgefield County,0,0,0
Virginia,VA,Accomack County,0,1,0
Wisconsin,WI,Calumet County,0,0,0
Kentucky,KY,Knox County,0,0,0
Michigan,MI,Ionia County,0,0,0
North Carolina,NC,New Hanover County,1,1,0
Tennessee,TN,Obion County,0,0,0
Kentucky,KY,Calloway County,0,0,0
Virginia,VA,Albemarle County,1,1,0
Tennessee,TN,Robertson County,0,0,0
Virginia,VA,Clarke County,0,0,0
Washington,WA,Garfield County,0,0,0
Kentucky,KY,Jackson County,0,0,0
Minnesota,MN,Cook County,0,1,0
South Carolina,SC,Oconee County,0,0,0
Louisiana,LA,East Baton Rouge Parish,1,0,0
Mississippi,MS,Claiborne County,0,0,0
Maryland,MD,St. Mary'S County,1,1,0
Michigan,MI,Kent County,1,0,1
North Carolina,NC,Pitt County,1,0,0
Montana,MT,Carbon County,0,0,0
Nebraska,NE,Stanton County,0,0,0
Georgia,GA,Appling County,0,0,0
Iowa,IA,Jasper County,0,0,0
Mississippi,MS,Wayne County,0,0,0
Texas,TX,Cottle County,0,0,0
Virginia,VA,Greensville County,0,0,0
Florida,FL,Polk County,1,0,1
Texas,TX,Young County,0,0,0
Alabama,AL,Tallapoosa County,0,0,0
New Hampshire,NH,Rockingham County,1,1,1
Colorado,CO,Rio Grande County,0,0,0
Iowa,IA,Plymouth County,0,0,0
New York,NY,Yates County,0,0,0
Washington,WA,King County,1,1,1
Oregon,OR,Deschutes County,1,0,0
Iowa,IA,Pottawattamie County,0,0,0
Missouri,MO,Wright County,0,0,0
Montana,MT,Toole County,0,0,1
New York,NY,Tioga County,0,0,0
Texas,TX,Lee County,0,0,0
Georgia,GA,Fulton County,1,0,1
Texas,TX,Cherokee County,0,0,1
Missouri,MO,Audrain County,0,0,0
South Carolina,SC,Colleton County,0,0,0
Wisconsin,WI,Jefferson County,0,0,0
Arkansas,AR,Greene County,0,0,0
Texas,TX,Hall County,0,0,0
Wisconsin,WI,Burnett County,0,0,0
New Mexico,NM,Torrance County,0,0,0
Washington,WA,Pacific County,0,0,0
North Carolina,NC,Pender County,0,0,0
Texas,TX,Hood County,0,0,0
South Dakota,SD,Stanley County,0,0,0
Nevada,NV,Washoe County,1,0,1
Kentucky,KY,Ballard County,0,0,0
Texas,TX,Archer County,0,0,0
Texas,TX,Baylor County,0,0,0
Texas,TX,San Augustine County,0,0,0
Nevada,NV,Storey County,0,0,1
Georgia,GA,Schley County,0,0,0
Texas,TX,Madison County,0,0,0
California,CA,San Joaquin County,1,0,1
Mississippi,MS,Winston County,0,0,0
Kentucky,KY,Henry County,0,0,0
Kentucky,KY,Mercer County,0,0,0
Nebraska,NE,Wheeler County,0,0,0
Kentucky,KY,Lewis County,0,0,0
Minnesota,MN,Grant County,0,0,0
Mississippi,MS,Humphreys County,0,0,0
Alabama,AL,Clarke County,0,0,0
Kansas,KS,Chase County,0,0,0
Kentucky,KY,Trigg County,0,0,0
Alabama,AL,Houston County,0,0,0
South Dakota,SD,Aurora County,0,0,0
Alaska,AK,Aleutians East Borough,1,1,0
Nebraska,NE,Franklin County,0,0,0
Maryland,MD,Kent County,0,0,0
Kansas,KS,Crawford County,0,0,0
Minnesota,MN,Chippewa County,0,0,0
South Dakota,SD,Pennington County,1,0,1
South Carolina,SC,Hampton County,0,0,1
Idaho,ID,Fremont County,0,0,0
Georgia,GA,Bryan County,0,1,0
Virginia,VA,Dinwiddie County,0,0,0
Florida,FL,St. Lucie County,1,0,0
New York,NY,Monroe County,1,0,1
South Dakota,SD,Lincoln County,0,0,0
Wisconsin,WI,Chippewa County,1,0,0
Kansas,KS,Woodson County,0,0,0
Kentucky,KY,Marshall County,0,0,0
Georgia,GA,Clinch County,0,0,0
Georgia,GA,Lowndes County,1,0,0
Hawaii,HI,Kalawao County,0,0,0
Hawaii,HI,Kauai County,1,0,1
Michigan,MI,Macomb County,1,0,0
Georgia,GA,Turner County,0,0,0
Illinois,IL,Jasper County,0,0,0
Texas,TX,Milam County,0,0,0
Indiana,IN,Spencer County,0,0,0
Kentucky,KY,Hart County,0,0,0
Kentucky,KY,Lincoln County,0,0,0
Montana,MT,Blaine County,0,1,0
Virginia,VA,Norfolk City,1,1,1
Texas,TX,Reeves County,0,0,0
Virginia,VA,Pulaski County,0,0,0
North Carolina,NC,Union County,0,0,0
North Dakota,ND,Mckenzie County,0,0,0
Florida,FL,Okaloosa County,1,0,0
California,CA,Alameda County,1,1,1
Illinois,IL,Calhoun County,0,1,0
